filename,original_path,overall_quality,final_label,quality_pattern,recommendations,processing_time
OD_11592159.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592159.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,4.034185171127319
OD_11592210.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592210.jpg,Bad Quality,BAD,NYNY,Ensure uniform lighting across the entire eye area; Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.3022892475128174
OD_11592224.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592224.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.5276107788085938
OD_11592300.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592300.jpg,Bad Quality,BAD,NYNY,Ensure uniform lighting across the entire eye area; Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.693206548690796
OD_11592310.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592310.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.4218451976776123
OD_11592343.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592343.jpg,Bad Quality,BAD,NYNY,Ensure uniform lighting across the entire eye area; Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.5927352905273438
OD_11592372.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592372.jpg,Good Quality,GOOD,YYNY,Ensure uniform lighting across the entire eye area; Ensure camera is properly focused on the eye,3.4618372917175293
OD_11592381.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592381.jpg,Bad Quality,BAD,NYNY,Ensure uniform lighting across the entire eye area; Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.8286356925964355
OD_11592409.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592409.jpg,Bad Quality,BAD,NNNY,Ensure uniform lighting across the entire eye area; Use higher resolution camera or move closer; Ensure entire cornea is visible in frame; Ensure camera is properly focused on the eye,3.464494228363037
OD_11592448.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592448.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.4123101234436035
OD_11592452.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592452.jpg,Bad Quality,BAD,NNNY,Ensure uniform lighting across the entire eye area; Use higher resolution camera or move closer; Ensure entire cornea is visible in frame; Ensure camera is properly focused on the eye,3.37380313873291
OD_11592458.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592458.jpg,Good Quality,GOOD,YYNY,Ensure uniform lighting across the entire eye area; Ensure camera is properly focused on the eye,3.3577866554260254
OD_11592498.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592498.jpg,Bad Quality,BAD,NYNY,Ensure uniform lighting across the entire eye area; Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.4418554306030273
